categoria,investigador,titulo_x,autores,anio,link_paper,link,titulo_paper,autores_paper,anio_paper,issn_paper,tipo,revista,titulo_y,detalle_libro,editorial,resumen,keywords,nombre,disciplina,especialidad,tema,texto_clasificacion,categoria_predicha
BECARIO,"RÍOS, SOFÍA",,,,bicyt.conicet.gov.ar/fichas/produccion/11265331,https://bicyt.conicet.gov.ar/fichas/p/sofia-rios,,"RÍOS, SOFÍA",2022.0,,Congreso,,"1° encuentro latinoamericano de infancias, juventudes y territorios. Diálogos entre investigaciones situadas y experiencias de participación. Universidad Nacional de Villa María, IAPCS. - Innovaciones y tensiones en la a Justicia Penal Juvenil en Salta: Un análisis antropológico de las primeras experiencias en mediación con jóvenes en conflicto con la ley",,"Universidad Nacional de Villa María, IAPCS","En este trabajo presentaré los primeros avances de mi investigación doctoral en el campode la administración de medidas penales alternativas en la Justicia Penal Juvenil de laprovincia de Salta. Desde un enfoque etnográfico, analizaré dos mediaciones penales en elámbito del Ministerio Público Fiscal. Estas son las primeras experiencias realizadas en laprovincia, solicitadas por fiscalías especializadas en justicia juvenil, al Centro de Med...","mediación penal, justicia penal juvenil, jovenes en conflicto con la ley","RÍOS, Sofía (BECA INTERNA DOCTORAL)",,Antropología Jurídica,"?Incluir, responsabilizar y resocializar desde la Justicia Penal Juvenil: Un acercamiento etnográfico a la administración de medidas penales alternativas sobre jóvenes en conflicto con la ley penal en la Ciudad de Salta?",sin datos,Comunicaciones
BECARIO,"RÍOS, SOFÍA",,,,bicyt.conicet.gov.ar/fichas/produccion/11265332,https://bicyt.conicet.gov.ar/fichas/p/sofia-rios,,"RÍOS, SOFÍA",2021.0,,Congreso,,XII Congreso Argentino de Antropología Social (CAAS) - Incluir y responsabilizar desde la Justicia Penal Juvenil: un acercamiento etnográfico a la administración de medidas alternativas sobre jóvenes en conflicto con la ley en la Ciudad de Salta,,Universidad Nacional de la Plata,"En este trabajo, desde un enfoque etnográfico, indagaré en torno a las formas deintervención estatal destinadas a jóvenes en conflicto con la Ley Penal en la Ciudadde Salta, mediante la descripción y el análisis prácticas administrativo-judiciales quetienen lugar cotidianamente en el Programa de Inclusión Social y AbordajeTerritorial.Retomando los aportes de una serie de investigaciones que atienden a las formassituadas de administraci&oac...","derechos del niño, medidas penales alternativas;, justicia penal juvenil, jóvenes en conflicto con la ley penal","RÍOS, Sofía (BECA INTERNA DOCTORAL)",,Antropología Jurídica,"?Incluir, responsabilizar y resocializar desde la Justicia Penal Juvenil: Un acercamiento etnográfico a la administración de medidas penales alternativas sobre jóvenes en conflicto con la ley penal en la Ciudad de Salta?",sin datos,Comunicaciones
BECARIO,"RÍOS, SOFÍA",,,,bicyt.conicet.gov.ar/fichas/produccion/8917702,https://bicyt.conicet.gov.ar/fichas/p/sofia-rios,,"RÍOS, SOFÍA",2020.0,,Congreso,,15 Encuentro de Jóvenes Investigadores - Reflexiones en torno a una experiencia de acompañamiento escolar en el Centro de Atención a Jóvenes en conflicto con la Ley Penal N°1 (Salta),,Fundación El Colegio de Santiago.,"En este trabajo presentaré las primeras reflexiones que partieron de la participación en talleres de apoyo escolar en un dispositivo de régimen cerrado del Sistema Penal Juvenil en la Ciudad de Salta, siendo parte de un proyecto de extensión universitaria, entre los meses de agosto y diciembre de 2018. El objetivo del mismo se centraba en el acompañamiento educativo a jóvenes en conflicto con la ley penal durante la ?Etapa de Compensación? dentro...","derechos humanos, educación en contexto de privación de la libertad, justicia penal juvenil, burocracias","RÍOS, Sofía (BECA INTERNA DOCTORAL)",,Antropología Jurídica,"?Incluir, responsabilizar y resocializar desde la Justicia Penal Juvenil: Un acercamiento etnográfico a la administración de medidas penales alternativas sobre jóvenes en conflicto con la ley penal en la Ciudad de Salta?",sin datos,Comunicaciones
BECARIO,"RÍOS, SOFÍA",,,,bicyt.conicet.gov.ar/fichas/produccion/8896020,https://bicyt.conicet.gov.ar/fichas/p/sofia-rios,,"RÍOS, SOFÍA",2018.0,"9,78988E+12",Congreso,Ver más,"Género, feminismos y disidencia en el NOA. Compilación de trabajos presentados en las Jornadas Género, Feminismos y Disidencia en el NOA 19, 20 y 21 de setiembre de 2018. - TRANSitando la zona: sobre trayectorias en la vereda. Avances de investigación",,UNSa,"En el Informe del Anual 2016 del Observatorio de violencia, apartado ?Violencia ydiscriminación a las mujeres transexuales, travestis y transgénero? se presentan losdatos obtenidos de la encuesta a la población trans en la Ciudad de Salta. El análisis delos mismos pone de manifiesto las experiencias de violencia, estigmatización,segregación, criminalización y exclusión que sufre este grupo. Este informe, cuyosdatos cuantitativos en general...","mujeres trans, ciudad de salta, trabajo sexual","RÍOS, Sofía (BECA INTERNA DOCTORAL)",,Antropología Jurídica,"?Incluir, responsabilizar y resocializar desde la Justicia Penal Juvenil: Un acercamiento etnográfico a la administración de medidas penales alternativas sobre jóvenes en conflicto con la ley penal en la Ciudad de Salta?",sin datos,Comunicaciones
BECARIO,"SORIA QUISPE, JOSEFINA MERCEDES","FIGURACIONES FEMENINAS DE LA REVOLUCIÓN Y DE LA DICTADURA EN LA POESÍA DE MUJERES PUBLICADA A PARTIR DE 1960 EN SALTA, JUJUY Y TUCUMÁN","SORIA QUISPE, Josefina Mercedes.",1960.0,bicyt.conicet.gov.ar/fichas/produccion/12353928,https://bicyt.conicet.gov.ar/fichas/p/josefina-mercedes-soria-quispe,,"SORIA QUISPE, JOSEFINA MERCEDES",1960.0,0326-5102,Artículo,Cuadernos de Literatura. Revista de Estudios Lingüísticos y Literarios - ISSN 0326-5102 Instituto de Letras de la Facultad de Humanidades UNNE,"FIGURACIONES FEMENINAS DE LA REVOLUCIÓN Y DE LA DICTADURA EN LA POESÍA DE MUJERES PUBLICADA A PARTIR DE 1960 EN SALTA, JUJUY Y TUCUMÁN",,Instituto de Letras de la Facultad de Humanidades UNNE,"En el presente trabajo buscamos relevar figuraciones femeninas de la revolución y de la dictadura en un corpus poético integrado por autoras de Salta, Jujuy y Tucumán que publicaron a partir de la década de 1960: Eugenia Elbein, Alcira Fidalgo, Teresa Leonardi Herrán, Purita Cantarero, Raqel Escudero y Estela Mamaní. Consideramos que identificar la autorepresentación o autofiguración (Molloy 2006; Reisz, 1996) de lo femenino en los poemas,...","revolución, figuraciones femeninas, poesía de mujeres, dictadura","SORIA QUISPE, Josefina Mercedes (POSTDOCTORAL (INTERNA))",,Poesía de mujeres,"Desarticulaciones de género, estrategias de autofiguración y lugares de enunciación en la poesía de mujeres de Salta, Jujuy y Tucumán (1980-2000)",sin datos,Comunicaciones
BECARIO,"SORIA QUISPE, JOSEFINA MERCEDES",Reseña - Sosa: Desmadre de palabras. Panorama tentativo de la poesía reciente de mujeres en Salta y Jujuy,"SORIA QUISPE, Josefina Mercedes.",2023.0,bicyt.conicet.gov.ar/fichas/produccion/12353784,https://bicyt.conicet.gov.ar/fichas/p/josefina-mercedes-soria-quispe,,"SORIA QUISPE, JOSEFINA MERCEDES",2023.0,2545-8736,Artículo,Confabulaciones. Revista de Literaturas de la Argentina (pp. 302-304) - ISSN 2545-8736 IILAC Universidad Nacional de Tucumán,Reseña - Sosa: Desmadre de palabras. Panorama tentativo de la poesía reciente de mujeres en Salta y Jujuy,,IILAC Universidad Nacional de Tucumán,"En Desmadre de palabras. Panorama tentativo de la poesía reciente de mujeres en Salta y Jujuy, Carlos Hernán Sosa da cuenta, mediante un riguroso análisis crítico y abundantes ejemplos que lo sustentan, de estéticas disruptivas e irreverentes en la poesía reciente de mujeres en Salta y Jujuy, en relación con la tradición literaria local y con los nuevos modos de redefinir las prácticas literarias contemporáneas. De esta maner...","cartografía, literatura del noa, escritura de mujeres, poesia","SORIA QUISPE, Josefina Mercedes (POSTDOCTORAL (INTERNA))",,Poesía de mujeres,"Desarticulaciones de género, estrategias de autofiguración y lugares de enunciación en la poesía de mujeres de Salta, Jujuy y Tucumán (1980-2000)",sin datos,Comunicaciones
BECARIO,"SORIA QUISPE, JOSEFINA MERCEDES",Un fragmentario sol desgarrándonos las alas,"SORIA QUISPE, Josefina Mercedes.",2021.0,bicyt.conicet.gov.ar/fichas/produccion/11209711,https://bicyt.conicet.gov.ar/fichas/p/josefina-mercedes-soria-quispe,,"SORIA QUISPE, JOSEFINA MERCEDES",2021.0,2683-8303,Artículo,ENCIUDARTE - ISSN 2683-8303 ICSOH-CONICET-UNSa.,Un fragmentario sol desgarrándonos las alas,"Detrás de los silencios (2003) de María Belén Alemán es un poemario quehace de la experiencia poética el descubrimiento de un instante perceptivo dondecierta verdad de la condición humana se revela, manifiesta la búsqueda insistente de un sentido de la existencia, a pesar del estado de intemperie al que nos arroja la contemporaneidad. Así, resulta oportuna la cita de Roberto Juarroz que encabeza el libro: ?No se trata de hablar, ni tampoco... Detrás de los silencios (2003) de María Belén Alemán es un poemario quehace de la experiencia poética el descubrimiento de un instante perceptivo dondecierta verdad de la condición humana se revela, manifiesta la búsqueda insistente de un sentido de la existencia, a pesar del estado de intemperie al que nos arroja la contemporaneidad. Así, resulta oportuna la cita de Roberto Juarroz que encabeza el libro: ?No se trata de hablar, ni tampoco de callar: se trata de abrir algo entre la palabra y el silencio?. Esa apertura es sin lugar a dudas, una herida del ser que se nombra para conjurar lo incomprensible, pero también para que sobrevivan la esperanza y el amor en todas sus intensidades. Ver más Ver menos",ICSOH-CONICET-UNSa.,"Detrás de los silencios (2003) de María Belén Alemán es un poemario quehace de la experiencia poética el descubrimiento de un instante perceptivo dondecierta verdad de la condición humana se revela, manifiesta la búsqueda insistente de un sentido de la existencia, a pesar del estado de intemperie al que nos arroja la contemporaneidad. Así, resulta oportuna la cita de Roberto Juarroz que encabeza el libro: ?No se trata de hablar, ni tampoco...","poesía, poemario, crítica, mujeres","SORIA QUISPE, Josefina Mercedes (POSTDOCTORAL (INTERNA))",,Poesía de mujeres,"Desarticulaciones de género, estrategias de autofiguración y lugares de enunciación en la poesía de mujeres de Salta, Jujuy y Tucumán (1980-2000)",sin datos,Comunicaciones
BECARIO,"SORIA QUISPE, JOSEFINA MERCEDES",PASIÓN Y BÚSQUEDA DE LA VOZ POÉTICA. A PROPÓSITO DE INTENSIDADES DE BLANCA SPADONI ?ZÜRCHER,"SORIA QUISPE, Josefina Mercedes.",2019.0,bicyt.conicet.gov.ar/fichas/produccion/9285969,https://bicyt.conicet.gov.ar/fichas/p/josefina-mercedes-soria-quispe,,"SORIA QUISPE, JOSEFINA MERCEDES",2019.0,2683-8303,Artículo,Enciudarte - ISSN 2683-8303 CIUNSA EdICIÓN VIRTUAL,PASIÓN Y BÚSQUEDA DE LA VOZ POÉTICA. A PROPÓSITO DE INTENSIDADES DE BLANCA SPADONI ?ZÜRCHER,,CIUNSA EdICIÓN VIRTUAL,"El diálogo íntimo con la palabra poética, Intensidades constituye una reflexión sobre el proceso creador de la poesía y más específicamente sobre la conformación de la voz poética en tanto enunciación y no enunciado. En esa dimensión metapoética, el desafío de la puesta en palabras del poema, es el tema y a su vez el medio, a partir del cual construimos un imaginario de la voz y la escritura. Una reflexi&...","modulaciones, enunciación, voz, metáforas","SORIA QUISPE, Josefina Mercedes (POSTDOCTORAL (INTERNA))",,Poesía de mujeres,"Desarticulaciones de género, estrategias de autofiguración y lugares de enunciación en la poesía de mujeres de Salta, Jujuy y Tucumán (1980-2000)",sin datos,Comunicaciones
BECARIO,"SORIA QUISPE, JOSEFINA MERCEDES","Mujeres amordazadas: la generación literaria de los 80 o de la postdictadura en Salta. Elisa Moyano, Corregidor, Buenos Aires, 2018, 275 páginas.","SORIA QUISPE, Josefina Mercedes.",2018.0,bicyt.conicet.gov.ar/fichas/produccion/7887497,https://bicyt.conicet.gov.ar/fichas/p/josefina-mercedes-soria-quispe,,"SORIA QUISPE, JOSEFINA MERCEDES",2018.0,0327-8115,Artículo,Cuadernos de Humanidades N° 29 - ISSN 0327-8115 Comisión de Biblioteca y Publicación de los Cuadernos de Humanidades de la FACULTAD DE HUMANIDADES DE LA UNIVERSIDAD NACIONAL DE SALTA,"Mujeres amordazadas: la generación literaria de los 80 o de la postdictadura en Salta. Elisa Moyano, Corregidor, Buenos Aires, 2018, 275 páginas.","El libro recorre la escena literaria de los 80 en Salta, una generación que no fue reconocida ni estudiada lo suficiente por la crítica literaria local, por lo menos no en los términos en los que aquí se considera, a saber, una generación bifronte e interprovincial signada por la herida de la dictadura y por poéticas innovadoras propulsadas por las escritoras, tales como el neobarroco, el neoromanticismo y el concretismo.",Comisión de Biblioteca y Publicación de los Cuadernos de Humanidades de la FACULTAD DE HUMANIDADES DE LA UNIVERSIDAD NACIONAL DE SALTA,"El libro recorre la escena literaria de los 80 en Salta, una generación que no fue reconocida ni estudiada lo suficiente por la crítica literaria local, por lo menos no en los términos en los que aquí se considera, a saber, una generación bifronte e interprovincial signada por la herida de la dictadura y por poéticas innovadoras propulsadas por las escritoras, tales como el neobarroco, el neoromanticismo y el concretismo.","generación del 80, crítica literaria, escritura de mujeres, posdictadura","SORIA QUISPE, Josefina Mercedes (POSTDOCTORAL (INTERNA))",,Poesía de mujeres,"Desarticulaciones de género, estrategias de autofiguración y lugares de enunciación en la poesía de mujeres de Salta, Jujuy y Tucumán (1980-2000)",sin datos,Comunicaciones
BECARIO,"SORIA QUISPE, JOSEFINA MERCEDES",,,,bicyt.conicet.gov.ar/fichas/produccion/12055703,https://bicyt.conicet.gov.ar/fichas/p/josefina-mercedes-soria-quispe,,"SORIA QUISPE, JOSEFINA MERCEDES",2018.0,,Capítulo de Libro,,Poesía y experimentación: Aproximaciones a la escritura poética de Raqel Escudero,Poesía y experimentación: Aproximaciones a la escritura poética de Raqel Escudero,Teseo,"Como señala Roland Barthes, la poesía moderna tiene hambre de Palabra, en la medida en que al destruir las relaciones del lenguaje, su discurso poético solo deja persistir los fundamentos lexicales, la densidad de su libertad que se irradia mediante múltiples posibilidades y reflejos. La escritura poética de Raqel Escudero participa de esta práctica experimental y concibe a la poesía como una instancia de invención, de asombro, de celebrac...","poesía de mujeres, experimentación poética, vanguardia poética en el noa, poema constelación","SORIA QUISPE, Josefina Mercedes (POSTDOCTORAL (INTERNA))",,Poesía de mujeres,"Desarticulaciones de género, estrategias de autofiguración y lugares de enunciación en la poesía de mujeres de Salta, Jujuy y Tucumán (1980-2000)",sin datos,Comunicaciones
BECARIO,"SORIA QUISPE, JOSEFINA MERCEDES",,,,bicyt.conicet.gov.ar/fichas/produccion/11209719,https://bicyt.conicet.gov.ar/fichas/p/josefina-mercedes-soria-quispe,,"SORIA QUISPE, JOSEFINA MERCEDES",2023.0,,Congreso,,"Actas del II Congreso Nacional ""El huso de la palabra"". Teoría y crítica de poesía latinoamericana - Hacia la construcción de una constelación experimental: silencio, fragmentación, juego visual e hibridez genérica en la escritura poética del NOA",,UNMDP-FACULTAD DE HUMANIDADES-CELHIS,"Con el fin de cartografiar la vanguardia poética de mujeres en el NOA a partir de la década de 1970, haremos un recorrido por la producción poética de las siguientes autoras: Raqel Escudero (Salta), Nélida Cañas (Córdoba/Jujuy), Blanca Spadoni-Zürcher (Mendoza/Jujuy) e Inés Aráoz (Tucumán). Consideramos que estas poéticas pueden constituir una constelación experimental ya que se reconoce en todas ellas una ...","poesia, mujeres, noa, experimental","SORIA QUISPE, Josefina Mercedes (POSTDOCTORAL (INTERNA))",,Poesía de mujeres,"Desarticulaciones de género, estrategias de autofiguración y lugares de enunciación en la poesía de mujeres de Salta, Jujuy y Tucumán (1980-2000)",sin datos,Comunicaciones
